ScenicSpotID,ScenicSpotName,DescriptionDetail,Description,Phone,Address,OpenTime,Picture,Position,ParkingPosition,City,SrcUpdateTime,UpdateTime
C1_315081200H_000006,峨眉湖,峨眉湖位於新竹縣峨眉鄉富興村與湖光村交接處，本體其實為第一座國人自行設計興建的水庫，稱大埔水庫，主要是供應灌溉及工業用水，也有防洪功能。2000年內政部解除水庫保護令遂讓峨眉湖開始發展觀光。 來到峨眉湖，首先映入眼簾的除了廣闊湖面，還有環湖步道，若要欣賞各種角度的湖畔之美，不妨走上一圈。步道全長3.5公里，只走前半段的峨眉湖步道則只有約1公里，且這1公里的步道藏有慷慨與巧思，改建過的峨眉湖步道能完工要多虧當地仕紳余錦奎伯伯的無償提供，也因此這段步道設有一段「徐伯伯的橋」，橋下的3D彩繪溪流栩栩如生，宛如流水正汨汨而去，溪上還有油桐花、蓮花荷葉點綴。繼續沿著湖畔走，沿途琳瑯滿目的水岸植物彷彿生態教室，配合一旁的解說牌，讓遊客寓教於樂。另外，遊客也能發現水面一大片翠綠的布袋蓮，這景觀固然美麗，但也令人擔憂外來種植物對原生種的侵害，國人須以此為警惕，維護我們的自然環境。 走著走著便會看到另一個峨眉湖知名景點&mdash;&mdash;細茅埔吊橋，原先橫跨峨眉湖的吊橋有五座，方便附近居民往來，如今只剩下細茅埔吊橋連接十二寮休閒園區與富興老街。細茅埔吊橋橋身能承重五十人，橋塔有著桐花的裝飾，佇立其上兩邊都能欣賞湖上風光，隨著時間與天氣對湖面造成的變化，可謂有著千百種景致。,峨眉湖位於新竹縣峨眉鄉富興村與湖光村交接處，本體其實為第一座國人自行設計興建的水庫，稱大埔水庫，主要是供應灌溉及工業用水，也有防洪功能。2000年內政部解除水庫保護令遂讓峨眉湖開始發展觀光。 來到峨眉湖，首先映入眼簾的除了廣闊湖面，還有環湖步道，若要欣賞各種角度的湖畔之美，不妨走上一圈。步道全長3.5公里，只走前半段的峨眉湖步道則只有約1公里，且這1公里的步道藏有慷慨與巧思，改建過的峨眉湖,886-3-5800116,315台灣新竹縣峨眉鄉湖光村,全天,"{'PictureUrl1': 'https://www.trimt-nsa.gov.tw/Content/Uploads/StrollArea/Detail/543a47a4-30e6-4165-8057-7ab0edb366d2_thumb.png', 'PictureDescription1': '峨眉湖'}","{'PositionLon': 120.98529815673828, 'PositionLat': 24.679859161376953, 'GeoHash': 'wsqh3hff9'}",{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000202,十二寮雲雀山莊,峨眉鄉是早年臺灣樟腦的重要產地，製作樟腦的第十二個隘寮或腦寮，就是今日峨眉鄉十二寮休閒農業風景區的所在地。為了灌溉附近的農田，農家也開鑿了十二寮大埤。大埤附近綠草如茵，埤塘仿若水鏡，將藍天、綠樹全都倒映成影。靜靜坐在埤邊賞景，直覺「此景只應天上有，人間難得幾回聞」。想要造訪十二寮登山步道，最好起個大早，才能在蟲鳴鳥叫的天籟中，享受生態之旅。這裡的步道緩和，沿途不時可以見到桐花，最適合各種年紀的旅客一同漫步，譜出不同世代的桐花樂章。若是喜愛單騎旅遊，十二寮也有自行車或協力車出租，沿著規劃完善的自行車路線，穿過山林、跨過水圳，還可以繞著峨眉湖的環湖步道，盡攬各種角度的湖光山色以及彌勒佛身影。行有餘力，甚至可以一路騎到獅頭山，串連起完整的峨眉鄉桐花景點。因為已經是熱門的旅遊景點，因此沿途不乏知名小吃、異國餐廳或浪漫的景觀咖啡廳，遊人可以憑各自的體力和喜好，規劃專屬的旅程。至於近年臺灣流行的路跑，峨眉湖也是很適合的景點。新竹縣政府教育處體健科將於五月四日舉辦峨眉大佛路跑活動，從天恩彌勒佛廣場出發，環峨眉湖一圈，盡攬山光水色，可以說是風景最美麗的路跑路道。例如占地約兩公頃的雲雀山莊，就是用餐休閒的好選擇。山莊內自有果園和土雞場，因此提供的料理和飲料，都是自給自足的食材，自然新鮮味美，食得安心。如果有機會住宿山莊，還可以夜觀滿天星斗、晨迎日出雲海，不論親友相約團聚、公司旅遊活動，都是絕佳的休憩地點。,886-9-36098915,新竹縣峨眉鄉湖光村12鄰2-8號,竹南站→5804苗栗客運南庄站→亞太創意技術學院→公車→5609新竹客運竹東站→峨眉湖口→十二寮雲雀山莊,未提供,{},"{'PositionLon': 120.98999786376953, 'PositionLat': 24.670900344848633, 'GeoHash': 'wsqh35nnr'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000203,那羅部落,從內灣往那羅部落前進，過了那羅派出所後，請記得搖下車窗，仔細嗅聞、用心感受，依季節不同，香草部落的空氣將充滿各種不同的芳香，不論您認不認得出那些味道是哪一種香草，但你一定會同意，這些味道有一個共同的名字，叫做幸福。那羅是一個以泰雅族為主的部落，原住民族群對自然作物的瞭解，根植在他們的血液中。他們有細膩的心思和靈巧的雙手，懂得和大自然相處的哲學，因此在原住民族委員會、新竹縣政府和新社種苗改良場的輔導下，那羅部落早在十幾年前就開始計畫性地種植「芳香藥用植物」，也就是我們俗稱的香草，同時成立產銷班，在國內造成了一股種植香草的熱潮然而就在香草事業蓬勃發展之際，民國九十三年的艾莉颱風，卻讓美好的遠景一夕成空。嚴重的土石流不僅毀了所有的花田，更重重打擊部落居民的信心。還好產銷班的吳秀梅班長堅信，隨著國人的生活條件愈來愈好，香草的需求一定會愈來愈高，因此她帶領產銷班的班員研究、開發香草的加工運用，讓那羅香草部落除了提供原物料外，也可以生產高附加價值的香草產品。十年歲月，他們憑著一股傻勁，利用有機栽植，建立與香草間的親密連結。如今，那羅香草部落的香草純露不僅供貨給國內的知名保養品廠商，連品質管控最嚴格的德國品牌，都遠赴重洋來採購。香草部落的堅持，終於換來了自己的幸福。吳班長提到，雖然大家對於香草的印象，都停留在西方的產品，但其實《本草綱目》中就提過包括水仙在內多達二十八種香草和香花，而炎帝神農氏「始嘗百草，始有醫藥」，可見香草真的不是舶來品，在食品調味、民俗保健、美容保養、精油薰香、粹煉製藥等方面，都可以找到香草在中華文化中的根基。因此，結合西方的香草知識，發揮我們既有的文化特色，才是適合在地的香草生活。例如，提到迷迭香，大家都會想到可以用來搭配烤肉，但是吳班長說，其實炒蛤蜊（或其他蚌殼類海鮮）時放迷迭香，更是對味。如果想學習更多的香草料理，甚至動手自己製作保養品，那麼何不預約一場花田漫步，讓吳班長和產銷班的成員引領您進入他們的香草王國。,886-3-5841001,新竹縣尖石鄉錦屏村 11 鄰 163 號,新竹火車站→富貴火車站→南河橋→5625那羅,08:00-17:00,{},"{'PositionLon': 121.2509994506836, 'PositionLat': 24.684999465942383, 'GeoHash': 'wsqhrju29'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000204,油點草生態農場,這是一則科技人才棄高薪回歸山林的故事。這裡可以聽聞交織著關懷環境和社區溫情的奮鬥史。這是讓孩子認識自然、學習謙卑的好去處。北埔鄉的南外社區最近又獲得營建署、水土保持局和新竹縣政府的補助，他們的社區活動中心即將完工，未來將擔負社區老人的照護重責，而中心前蝴蝶造型的生態池也開始復育水生植物。催生這一切軟硬體設施的重要推手之一，正是油點草農場的主人陳紹忠。陳紹忠自小在南外社區長大，家裡的那座山，就是養活一家老小的命脈。不論種柑橘、茶葉、地瓜，都仰賴化肥和農藥。直到紛飛的彩蝶和震天的蛙鳴已經慢慢從記憶中消失，螢火蟲也不再在夜晚照路，陳紹忠才驚覺，自己腳下的土地已經變了色。為了挽救農場的生態，陳紹忠毅然辭去科學園區的工作，從頭開始學習自然農法和生態教學，要將油點草農場打造成適合親子共遊、師生共學的生態基地。十二年過去了，他從一個理工背景的工程師，變成滔滔不絕訴說昆蟲生平、信手拈來都是花草特色的生態農人，他的成就，盡在油點草農場裡。油點草是農田旁很容易見到的野草，屬臺灣特有種。因為花朵的基部有花蜜，是鄉下孩子們最愛的野食，引用它做為農場的名字，除了它填充陳紹忠兒時的美好記憶外，也代表了他對農場的希望──蛙鳴、蝶舞、鳥啼、蜂鬧的各種聲音，能夠讓農場充滿「有點吵」的熱鬧氣氛。,886-9-32314252,新竹縣北埔鄉南坑村19號,走國道3號前往寶山鄉的大雅路二段/寶山交流道聯絡道路。從國道3號的 98-寶山 號出口下交流道→走大坪路、寶山路二段、寶山路一段、中大壢路和竹37-2鄉道前往目的地北埔鄉,未提供,{},"{'PositionLon': 121.05500030517578, 'PositionLat': 24.674299240112305, 'GeoHash': 'wsqh6evd1'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000205,巨埔生態休閒農場,退休校長吳聲淼回到從小長大的巨埔生態休閒 農場，闢建新的「生態農場教育園區」，透過食 農教育、生態導覽等親近土地的活動，希望讓現 代的小朋友，有機會更了解在地的生活與故事。順著霄裡溪河岸旁的馬路前行，還沒到巨埔 生態休閒農場，就已能夠先感受到巨埔社 區這個客家城鎮的農情魅力。馬路北岸是綿延一 片的農田景色，秋收時稻浪隨風搖曳；南岸則是 層層疊疊的丘陵起伏，不少農家散居於林樹之間， 更顯自然悠閒氣氛。若沒特別注意，很容易錯過隱身在一片綠林中的巨埔農場，直到順著馬 路旁的坡道往上走，才會發現庭院、生態池、菜園、果樹、溫室、餐廳等依 序出現，景觀別有洞天。走進園區的後山，還有行家才知道的巨埔步道，漫 步其中，宛如來到神祕的山林祕境。巨埔農場園區內開闢許多有機耕種的蔬果菜園區，配合活動時，遊客可 以親自體會採菜樂趣。同時，還規劃有蝴蝶復育區、獨角仙生態區、螢火蟲 復育區等，生態樣貌豐富。農場場長吳俊穎更推薦遊客每年三月、五月來 訪。三月時黃花風鈴木盛開，一片黃色花海甚是美麗；五月時則輪到油桐花 季登場，山頭白皚皚一片，又是不同景象。客製化活動，種菜、採菜自己來由吳氏家族合力經營的巨埔農場，成員分工負責菜園、客家餐廳等不同 區域，大家齊心守護的是這塊家族經營數十年的土地，而這裡，自然也充滿 他們的兒時記憶。「小時候，這裡整片山都是我的遊樂場。」國小校長退休的吳聲淼說。從 事科學教育 30 多年，吳聲淼其實有許多有趣的身分，他不僅是在地的文史 工作者、作家，對於河川保育、客家文學有深入的研究，同時還出版過《客家兒童繪本》、《兒童植物寓言》等書，對於兒童文學推廣不遺餘力。兩年 前，吳聲淼回到農場，闢建了「巨埔生態農場教育園區」，除了想與更多小 朋友分享他的童年記憶外，也希望能將兒童教育與在地社區發展做結合。「以前，我們只要一把刀子，就有本領在山上過一天，知道哪些植物可 以吃、哪些植物該怎用，但現在的小朋友就不行了，所以要帶動他們多動動 腦。」吳聲淼笑說。吳聲淼設立教育園區，希望能作為國中小學及幼稚園兒童科學教育的場 所，同時，他更提供客製化的活動，視遊客需求規劃自然生態導覽，或者利 用場地進行各種體驗遊戲，果然吸引不少學校單位或團體，前來從事校外教 學等活動。在這裡，不僅可以善用農場資源，親自體會種菜、拔菜的樂趣，吳聲淼更 教導小朋友們運用天然素材，製作各種童玩，如斛瓜製作成水瓢、月桃葉片 摺成箭筒等。另外，更帶領著小朋友們做生態導覽，讓孩童認識各式昆蟲、 動植物等。園區內最吸引人目光的，還有色彩繽紛的「涵管屋科學教室」，每間教室可以設計成一個科學闖關場所，也是孩童最喜歡的聚會場地，平時還能作為 遊客的包廂，坐覽園區綠意美景。吳聲淼特別提到，若從高空往下看，涵管 屋教室與活動廣場剛好就像是一朵盛開的花，這是當初在設計時的巧思。回到故鄉，吳聲淼其實有更大的願景，他希望能帶動巨埔社區的發展，為 故鄉多做點事。在他心中，巨埔一帶有山林、桐花、夕陽，有霄裡溪的河岸 景色，有客家柿餅、茶葉，更重要的是，巨埔社區還是台灣文學作家吳濁流 的故居，更增添在地的人文氣息。因此，吳聲淼希望以教育園區為起點，一步步帶動巨埔社區的發展。園區 除了接待團體活動外，還曾舉辦音樂會及免費的生態講座等，沒有特別對外 宣傳，就已吸引許多人前來參與。「我退休後，過得好像比退休前還忙。」儘管生活變得更忙碌，吳聲淼卻 是甘之如飴，因為他已在故鄉找到更能發揮專長的生活方式。,886-3-5899612,新竹縣新埔鎮新龍路752巷2號,未提供,{},"{'PositionLon': 121.10099792480469, 'PositionLat': 24.83919906616211, 'GeoHash': 'wsqj79z4c'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000206,有助牧場!!放養雞生好蛋!!,"走進新竹縣竹東鎮陸豐里的鄉間小路,路旁 斗大的「有助牧場」就寫在屋舍的外牆 上,牧場內首先映入眼簾的是一座座存放大豆 飼料的高塔,走近瞧瞧,會發現五座雞舍就散布 其中,這些雞舍有些是小雞生長的地方,有些則 是蛋雞產蛋的地方,同時,還有為數眾多的雞隻 在雞舍旁的空地奔跑著,每隻雞都是農場第二 代主人羅有助最呵護的寶貝。不到 30 歲的羅有助,是新竹縣土生土長的客家子弟,自小便看著父親羅世龍養雞長大,對雞隻一直有著深厚的感情。羅有助退伍後曾短暫從事一年的業務工作,但業務工作 壓力大,反倒是看著父親每天開心 踏實的照顧雞隻,讓他決定回鄉幫 忙,開始他的養雞人生。友善養殖 雞隻快樂產蛋原本羅家養的是土雞,某天一位 賣雞蛋的業務前來拜訪,提及雞蛋 的行情不錯,加上家中有一些閒置 的雞舍,激發起羅有助養蛋雞的企 圖心。「養雞人家就是什麼雞都想養 看看。」羅有助笑說。於是父子倆一 起投入養蛋雞的領域,從原本的不 熟悉到逐漸養出心得,現在有助牧 場不僅全養蛋雞,更是全家人的「開 心牧場」。有助牧場最特別的是採用放牧方 式來飼養蛋雞,一般來說,往往肉雞 才有此「放山雞」的待遇。「為什 麼蛋雞只能沒日沒夜待在籠子裡生 蛋,這樣你看著心裡也會不舒服。」 從小就將雞當作玩伴的羅有助,認 為友善對待雞,雞就能生出好蛋,儘 管放養的方式看似不符合「經濟效 益」,但羅有助仍堅持「取之有道」 的原則,以人道方式對待雞隻。有助牧場蛋箱採用自動集蛋設計,蛋不落地,不經水洗可減少污染。但要如何讓這些習慣四處奔跑的雞乖乖到專屬的產蛋箱中下蛋呢?原來在蛋雞預備生產時,都會蹲下靜止不動,此時就要將雞抱至產蛋箱,讓他們習慣在裡面產蛋。面對上千隻雞,這樣的訓練期會長達一到兩個月,每天從早到晚,不斷重複這個動作,期間的辛苦可想而知。自家調配!!無毒健康飼料讓雞玩得開心,更要讓雞吃的無毒、健康。走進有助牧場調配飼料的倉 房,裡頭堆放著各種原料,員工在秤重機上一一秤重後調配妥當,再傳送到 雞舍讓雞隻們大快朵頤。從父親羅世龍開始,便嘗試研究飼料的調配方式, 羅有助接手後持續進行調整,前前後後更改過三十幾次的配方,包括哪種成 分會對蛋殼厚薄產生影響?那種元素會改變蛋黃的顏色?這些都要一一研 究才知道。「就像人吃飯配菜一樣,米飯當然是主食。」有助牧場的飼料以 五穀為主,並加入微量元素、海藻以及益生菌等,每一批飼料都要花時間調 配好比例。羅有助認為,這就像家中媽媽自己煮菜一樣,雖然辛苦,但用什 麼食材、源頭來自哪裡都一清二楚。而在不添加化學合成成分後,加上對飼 料的用心,讓有助動福雞蛋更為天然無毒,在食安問題頻傳的狀況下,依然 得到許多客戶的肯定。一步一腳印!!打開行銷通路面對的挑戰,還有行銷的問題。剛開始從土雞轉為蛋雞時,不僅喪失原來 的客戶,年輕的羅有助去拜訪雞蛋的通路店家時,許多人還以為他只是玩玩 而已,懷疑他能堅持多久。後來一次偶然的機會,羅有助遇到了「台灣動物 社會研究會」這個強調友善養殖動物的組織,透過他們的介紹,讓許多有機 店家認識有助牧場的無毒雞蛋,順利解決部分通路的問題。另外,羅有助也 走向第一線,參加許多小農市集,一對一面對面與消費者溝通,「我常告訴 消費者,一顆雞蛋十幾元看似很貴,但它有許多價值是你看不到的。」一步 步踏實的打開市場,目前包括新竹縣青農直銷站、有機商店等,都可以買到 有助動福雞蛋。「辛苦時,我會回想當初堅持的原因,不就是因為撿到第一顆蛋時的喜悅 感嗎?」在一顆顆雞蛋中,羅有助找到自己存在的意義,也努力與更多人分 享這單純的快樂。",886-3-5923717,新竹縣竹東鎮陸豐里8鄰87號,未提供,{},"{'PositionLon': 121.06900024414062, 'PositionLat': 24.77359962463379, 'GeoHash': 'wsqhfvzu8'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000207,竹北天后宮,竹北天后宮奉祀主神 天上聖母（媽祖）為全臺唯一泥塑金身，宮址舊稱豆仔埔，亦即今之竹北里、竹仁里與竹義里一帶地區，該地名稱之由來，源於此地聚落位於新庄子圳上游，引水不易，而過去荒埔地經開墾後，僅能種植豆類，因此稱為「豆仔埔」。由於耕作不易，居民務漁者甚眾，渡海來台之初，先民奉請居家航海之守護神－媽祖香火，以祈求平安，護境佑民。當時清廷海禁嚴厲管制，不論偷渡或合法移民，均無法攜眷前來，以至人心至為浮動，所幸媽祖慈威顯赫，神庥廣被，先民之精神信仰皆賴以所託。百餘年來，每逢元宵佳節，信眾均覓地搭棚啟建平安祈福三獻法會，以感念媽祖聖恩，此一宗教活動延續至今，蔚為天后宮之特色。,886-3-5553063,新竹縣竹北市仁德街50號,中山高速公路=>下竹北交流道=>往竹北市區方向右轉縣政二路=>中正東路左轉=>過竹仁國小後右轉即可抵達竹北天后宮。省道台１線（中華路）=>至竹北市=>轉入中正東路=>過陸橋後左轉即可抵達竹北天后宮。,未提供,{},"{'PositionLon': 121.01100158691406, 'PositionLat': 24.83679962158203, 'GeoHash': 'wsqj39msb'}",廟宇類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000208,蓮華寺,清光緒三年竹塹知縣李慎彝途經蓮華寺現址，面對十八尖山及頭前溪深讚地靈，乃授意鄉紳建廟。林希賢等十二位鄉紳遂於1878年發起創建蓮華寺（俗稱觀音廟），主祀觀世音菩薩。1895年台灣割讓與日本而兵燹四起，本廟亦被殃及成一片荒蕪。迨1904年賴鄉紳林榮和、林祺富、楊慶雲等發起重建，香火隨之興盛。民國四十八年，由修慧法師接任住持，一本佛心，銳意整頓環境，整修大殿及房舍等處，維持古風，遂使該寺煥然一新，成為竹北暨遠近信徒朝拜之聖地。蓮華寺整體為二殿二廊二橫屋的規模，主體建築於戰亂中遭受破壞，經後代重修，而成今日樣貌。綜觀蓮華寺之建築不但保留清末、日治初期、光復初期之建築特色，且是地區性信仰文化的整合中心，對於地區性文化之研究是極好的素材。,886-3-5501342,新竹縣竹北市犁頭山下39號,中山高速公路=>竹北交流道下=>往芎林方向=>自強北路左轉（往新埔方向）直行=>於普善巷即可抵達蓮華寺（全程約2公里）。,未提供,{},"{'PositionLon': 121.03600311279297, 'PositionLat': 24.82710075378418, 'GeoHash': 'wsqj4pxsr'}",廟宇類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000209,蓮花寺,座落鳳山崎山山腳處，主祀觀世音菩薩。因此地的地勢很像蓮花座，所以將廟名取為「蓮花」。外觀莊嚴樸實，廟宇前除了有雅致的小橋流水與蓮花池外，寺廟旁還有一座松樹林，內有著完善的野炊設備，適合全家同遊踏青。而站在寺廟前向北遠望，則可見觀音燈塔與香山全景。沿蓮花寺左方「鳳崎步道」拾級而上，兩側自然生態豐富、景致宜人，視野遼闊，為民眾一覽竹北市全景之美的絕佳去處。,886-3-5561805,新竹縣竹北市蓮花路925號,國道1號竹北交流道下→光明六路→右轉縣政二路→左轉中正東路(118縣道)直行，續行中正西路→右轉鄉道竹73號(舊台15線)，循指標右轉即可抵。,未提供,{},"{'PositionLon': 120.96099853515625, 'PositionLat': 24.876699447631836, 'GeoHash': 'wsqj889j7'}",廟宇類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000210,溪南湖口顯聖宮,位於鬧區中的顯聖宮廟貌巍峨，殿宇堂皇，入口有兩座古色古香的牌樓，穿過牌樓站在寬闊廟埕四望，兩旁是水泥房舍，戲臺位於兩座牌樓之間，在慶典時可供宴神娛人。三川門前有一對石獅鎮守，登上三川殿前廊，左右牆堵盡是所師們盡心雕飾的石雕藝術。跨過門檻，進人三川殿內，這裡是信徒入宮初拜殿；往中庭望去，在光影明暗的對映下，更覺正殿幽深神祕，肅穆莊嚴。左側殿設置辦事處，另與右側殿各祀岳飛、包公及信士祿位之神龕。過側殿左轉，面向正殿只覺輝煌華麗，處處顯得極為隆重用心。主祀是聖母尊，左祀註生娘娘，右祀九天玄女。二樓則主祀觀音佛祖，配祀關帝、孔子，陳設簡單樸素。「顯聖宮」定每年農曆三月二十三日為聖母千秋聖誕祭典，由轄區四鄉鎮信徒輪流辦理。,886-3-5992634,新竹縣湖口鄉民生街120號,中山高湖口交流道下→往湖口方向接台１號省道至老湖口→左轉中正路往湖口市區方向到底→右轉接民生街即可抵達。,未提供,{},"{'PositionLon': 121.0479965209961, 'PositionLat': 24.90690040588379, 'GeoHash': 'wsqjdw0mn'}",廟宇類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000211,湖口三元宮,湖口三元宮是老湖口地區的信仰中心，基本格局包括三川殿、過廊、左右護堂、中庭、正殿及左右耳房，其單護龍合院廟宇格局模式，廟旁即是著名的湖口老街，也是本縣的觀光勝地之一，廟內奉祀三官大帝、媽祖、觀音娘、伯公及註生娘娘等神，於九十年指定為縣定古蹟。 大湖口地區約於清乾隆嘉慶年間吸引大批客籍移民墾拓，而逐漸形成散村，老湖口由於位居山區與台地之間，而成為社群中心與貨物集散地。光緒十三年（ 1887 ）基隆到新竹間的鐵路開始興築，因行經湖口又在老湖口設站，光緒十九年通車後更為老湖口帶來商機，一時之間商業急遽成長而成為商業重鎮。三元宮於民國九十年經縣府公告指定為新竹縣縣定古蹟。由於九二一大地震時，古蹟本體受到嚴重的傷害，部份牆體龜裂，屋瓦漏水，經縣府向內政部爭取修復經費，獲得內政部核定動支九二一社區重建更新基金全額補助辦理修護工程。 三元宮修護工程委託徐裕健建築師事務所進行設計監造，於九十一年十二月完成發包，工程於九十二年二月動工，至九十四年五月完工。,886-3-5692667,新竹縣湖口鄉湖口老街278號,中山高湖口交流道下→往湖口方向接台1號省道至老湖口→轉入湖口老街即可抵達。,未提供,{},"{'PositionLon': 121.05899810791016, 'PositionLat': 24.877099990844727, 'GeoHash': 'wsqjdb8rx'}",廟宇類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000212,鳳山寺,鳳山寺主祀釋迦牟尼佛、文殊菩薩、普賢菩薩，寺廟莊嚴宏麗，週邊景致優雅怡人，附近花木更是四時挺秀爭妍，登高一眺，鳳山崎之環山抱水景色，美景盡收眼底。,886-3-5981369,新竹縣湖口鄉新興路838巷101號,從國道1號的 83-湖口 號出口下交流道，靠右以繼續行駛高速公路聯絡道，走光華路。,未提供,{},"{'PositionLon': 121.01100158691406, 'PositionLat': 24.882099151611328, 'GeoHash': 'wsqj99ts8'}",廟宇類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000213,鳳蓮宮,民國五十八年歲次庚戊由地方何姓施主捐獻廟基土地，並召集地方士紳磋商共襄盛舉募款籌建，成立鳳蓮宮觀音廟。由何友家先生為管理人。 本宮廟內主祀 觀世音菩薩，配祀五穀神農帝，註生娘娘， 延平郡王，福德正神，民國95年整修完竣後，廟旁增設文昌廳，內配祀文昌帝君，關聖帝君，文財神爺。,886-3-5579009,新竹縣新豐鄉建興路一段51巷58號,中山高 南下83公里處，由新豐/湖口交流道下右轉 →直走到底十字路口（士林電機大門）右轉 →過天橋接省道左轉台1省道，過新豐火車站再前行至建興路右轉可達,未提供,{},"{'PositionLon': 120.99600219726562, 'PositionLat': 24.8710994720459, 'GeoHash': 'wsqj3rdse'}",廟宇類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000214,池府王爺廟,池府王爺廟又稱池和宮，其建築採門庭採用中國傳統式的山門造型，以及重簷歇山式的屋簷，三川殿的左右兩側有八角鐘樓與鼓樓閣，屋頂上也有許多龍、鳳與武將的剪黏藝術，廟的後方還有一座清幽的花園，可供民眾休閒遊憩，每逢王爺聖誕等節日，人聲鼎沸，香客絡繹不絕。,886-3-5680024,新竹縣新豐鄉池府路156號,竹北交流道下→120縣道→右轉1號省道北行→過明新技術學院→左轉康樂路至新庄子→15號省道北行至王爺廟旁，續指標前行即抵。,未提供,{},"{'PositionLon': 120.97599792480469, 'PositionLat': 24.909799575805664, 'GeoHash': 'wsqj8ysn1'}",廟宇類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000215,天德堂,天德堂由地方軍政及富商名流合資而建，為天德教在台灣最大的廟宇，廟中供奉無形古佛。天德教信奉的是一種「道」的信念，而非人物偶像。天德堂位於松柏嶺西側，廟宇經過整修後，廣場上可放風箏及玩耍，下坡處的古道更是附近居民清晨運動、傍晚散步的好去處。廟前廣場可眺望南寮漁港與風力發電廠，為民眾口耳相傳的極佳觀景點。,886-3-5592862,新竹縣新豐鄉德昌街236號,由新竹火車站前搭新竹客運往新庄子的班車，於明新科技大學站下車可抵達。,未提供,{},"{'PositionLon': 120.9800033569336, 'PositionLat': 24.86720085144043, 'GeoHash': 'wsqj2yyvy'}",廟宇類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000216,新豐三元宮,循著鄉間小路前行，眼前忽有湛紅華麗牌樓高聳於田園鄉野中，抬頭仰望，頂部刻工飾樣華貴氣派，卻仍難掩其莊嚴隆重之勢。穿過牌樓，宮廟前一對石獅子鎮守在此，有別於傳統石獅子，這裡的石獅子面貌扁平，體型圓潤，咧開的八字形嘴，十分生動逗趣。跨過門檻，進入三川殿內，大紅燈籠高掛滿殿，氣勢非凡；從正門至神龕眼前所及皆是由香樟木建造，雕樑畫棟獨具匠心，裝飾雕琢極盡富麗堂皇，精緻絕倫，猶如身處藝術殿堂。華燈初上，夜晚點燃五彩燈光，進入其中更有如置身聖境。&nbsp;,886-3-5993317,新竹縣新豐鄉中崙38號,從國道1號的 83-湖口 號出口下交流道，繼續走高速公路聯絡道。走光華路前往新豐鄉的竹6鄉道。,未提供,{},"{'PositionLon': 121.00800323486328, 'PositionLat': 24.898000717163086, 'GeoHash': 'wsqj9se36'}",廟宇類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000217,新豐普元宮,普元宮位於新豐鄉坡頭村，信徒涵蓋新豐、湖口、竹北地民眾。廟內奉祀池府王爺、觀音菩薩、玉皇大帝、王母娘娘等眾神。&nbsp;,886-3-5680379,新竹縣新豐鄉95之7號,從國道1號的 83-湖口 號出口下交流道，走光華路，朝竹6鄉道前進，走新庄路/竹3鄉道，西濱公路/西部濱海快速公路/台61線靠右行駛。,未提供,{},"{'PositionLon': 120.97799682617188, 'PositionLat': 24.924800872802734, 'GeoHash': 'wsqjbcmmr'}",廟宇類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
